#H_Fe	err_H_Fe	B[mT]	err_B[mT]
-2940.295601	137.0549432	-925.5	27.765
-2943.440255	137.0735238	-925.5	27.765
-2940.295601	137.0549432	-925.5	27.765
-2943.440255	137.0735238	-925.5	27.765
-2943.440255	137.0735238	-925.5	27.765
-2940.295601	137.0549432	-925.5	27.765
-2944.916618	137.1469048	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2948.061273	137.1654948	-926	27.78
-2943.440255	137.0735238	-925.5	27.765
-2941.771964	137.1283246	-926	27.78
-2938.62731	137.1097541	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2937.150947	137.0363724	-925.5	27.765
-2941.771964	137.1283246	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2938.62731	137.1097541	-926	27.78
-2935.482656	137.0911934	-926	27.78
-2938.62731	137.1097541	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2943.440255	137.0735238	-925.5	27.765
-2946.584909	137.0921142	-925.5	27.765
-2938.62731	137.1097541	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2948.061273	137.1654948	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2948.061273	137.1654948	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2941.771964	137.1283246	-926	27.78
-2944.916618	137.1469048	-926	27.78
-2948.061273	137.1654948	-926	27.78
-2949.537636	137.2388755	-926.5	27.795
-2968.213633	137.4787277	-927.5	27.825
-3007.04199	138.0325123	-930	27.9
-3040.865475	138.7508849	-934	28.02
-3070.067942	139.3774485	-937.5	28.125
-3093.173029	139.8386777	-940	28.2
-3109.988808	140.2622482	-942.5	28.275
-3120.707206	140.5202127	-944	28.32
-3123.659933	140.6669418	-945	28.35
-3120.515278	140.6480042	-945	28.35
-3125.136296	140.7403064	-945.5	28.365
-3125.136296	140.7403064	-945.5	28.365
-3123.468005	140.7947344	-946	28.38
-3128.28095	140.7592529	-945.5	28.365
-3128.28095	140.7592529	-945.5	28.365
-3125.136296	140.7403064	-945.5	28.365
-3125.136296	140.7403064	-945.5	28.365
-3125.136296	140.7403064	-945.5	28.365
-3128.28095	140.7592529	-945.5	28.365
-3126.612659	140.813671	-946	28.38
-3123.468005	140.7947344	-946	28.38
-3126.612659	140.813671	-946	28.38
-3120.323351	140.7758073	-946	28.38
-3125.136296	140.7403064	-945.5	28.365
-3125.136296	140.7403064	-945.5	28.365
-3123.468005	140.7947344	-946	28.38
-3126.612659	140.813671	-946	28.38
-3128.28095	140.7592529	-945.5	28.365
-3123.468005	140.7947344	-946	28.38
-3129.757313	140.832617	-946	28.38
-3126.612659	140.813671	-946	28.38
-3126.612659	140.813671	-946	28.38
-3131.425604	140.7782089	-945.5	28.365
-3126.612659	140.813671	-946	28.38
-3129.757313	140.832617	-946	28.38
-3128.28095	140.7592529	-945.5	28.365
-3125.136296	140.7403064	-945.5	28.365
-3012.696459	139.551979	-941.5	28.245
-2844.420558	137.5304119	-933.5	28.005
-2678.004876	135.3447749	-924	27.72
-2535.270063	133.2442604	-914	27.42
-2416.024192	131.3502675	-904.5	27.135
-2310.833301	129.6061909	-895.5	26.865
-2238.565314	128.1084936	-887	26.61
-2156.863365	126.564385	-878.5	26.355
-2064.25109	124.9026275	-869.5	26.085
-2015.280117	123.7314802	-862.5	25.875
-1949.109511	122.408855	-855	25.65
-1867.599489	120.7490937	-845.5	25.365
-1811.2467	119.2173224	-836	25.08
-1733.07326	117.4487869	-825.5	24.765
-1672.099453	115.8328031	-815.5	24.465
-1603.359975	114.1158574	-805	24.15
-1565.875111	112.6812593	-795.5	23.865
-1515.619702	111.3196824	-787	23.61
-1469.985311	110.047314	-779	23.37
-1393.864017	107.973449	-766	22.98
-1328.653048	106.0188637	-753.5	22.605
-1248.102664	103.7331282	-739	22.17
-1200.475184	101.662226	-725	21.75
-1129.550689	99.2915965	-709.5	21.285
-1084.684008	97.5014235	-697.5	20.925
-1021.525185	95.2353353	-682.5	20.475
-946.1716011	92.6547041	-665.5	19.965
-895.7833221	90.3134258	-649.5	19.485
-825.0507552	87.8249339	-633	18.99
-742.5072821	84.7599506	-612.5	18.375
-674.0187886	81.8214459	-592.5	17.775
-585.9537175	78.2118259	-568	17.04
-509.1828269	74.4495622	-542	16.26
-417.2644485	70.2383502	-513	15.39
-331.8273058	65.9248231	-483	14.49
-258.9687794	61.661127	-453	13.59
-198.6888694	57.4436305	-423	12.69
-124.7378349	52.856599	-390.5	11.715
-84.8022127	48.7776594	-361	10.83
-29.3352475	44.5272378	-330.5	9.915
1.742195	40.8842633	-304	9.12
31.3432742	37.3159375	-278	8.34
55.2308278	34.1683039	-255	7.65
97.0266684	30.3167387	-227	6.81
130.4810549	26.1594176	-196.5	5.895
183.7039466	21.529895	-162.5	4.875
213.8217515	17.307531	-131	3.93
236.1738849	13.2154274	-100	3
250.2436212	9.9950971	-75	2.25
215.4014418	8.7236098	-65.5	1.965
200.3868245	8.1239109	-61	1.83
193.7136613	7.8573785	-59	1.77
191.8534429	7.6629078	-57.5	1.725
185.3722072	7.5242132	-56.5	1.695
186.8485705	7.4630058	-56	1.68
191.4695879	7.4078912	-55.5	1.665
185.1802797	7.3963718	-55.5	1.665
183.5119889	7.3297379	-55	1.65
183.5119889	7.3297379	-55	1.65
