#H_Fe	err_H_Fe	B[mT]	err_B[mT]
3090 140 960 30
3100 140 960 30
3090 140 960 30
3100 140 960 30
3100 140 960 30
3090 140 960 30
3100 140 960 30
3090 140 960 30
3100 140 960 30
3100 140 960 30
3090 140 960 30
3090 140 960 30
3100 140 960 30
3090 140 960 30
3090 140 960 30
3100 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3100 140 960 30
3100 140 960 30
3100 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3100 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3100 140 960 30
3100 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
3090 140 960 30
2980 140 950 30
2980 140 950 30
2920 140 950 30
2740 140 940 30
2520 140 930 30
2320 130 910 30
2230 130 900 30
2200 130 900 30
2160 130 890 30
2140 130 890 30
2110 130 890 30
2060 130 880 30
1950 120 870 30
1910 120 860 30
1860 120 860 30
1790 120 850 30
1730 120 840 30
1720 120 840 30
1710 120 833 25
1680 120 829 25
1590 120 820 25
1500 110 805 24
1460 110 795 24
1370 110 781 23
1280 110 765 23
1240 110 753 23
1220 100 744 22
1200 100 739 22
1180 100 732 22
1130 100 724 22
1060 100 712 21
1030 100 701 21
1000 100 691 21
970 100 683 20
940 90 675 20
890 90 665 20
870 90 656 20
810 90 643 19
720 90 625 19
630 80 602 18
580 80 584 18
540 80 568 17
500 80 553 17
450 70 536 16
400 70 518 16
350 70 500 15
290 70 481 14
230 60 458 14
170 60 433 13
100 50 404 12
50 50 373 11
-10 50 341 10
-50 40 311 9
-90 40 280 8
-120 30 249 7
-160 30 220 7
-190 30 192 6
-227 21 161 5
-263 17 127 4
-295 13 95 3
-264 11 79.0 2.4
-244 10 73.0 2.2
-230 9 70.0 2.1
-229 9 68.5 2.1
-228 9 67.5 2.0
-227 9 67.0 2.0
-222 9 66.5 2.0
-222 9 66.5 2.0
-220 9 66.0 2.0
-220 9 66.0 2.0
-227 9 66.0 2.0
-219 9 65.5 2.0
-219 9 65.5 2.0
-219 9 65.5 2.0
-215 9 65.5 2.0
-215 9 65.5 2.0
