#H err_H B err_B
-0.0020595000 0.0000618000 -1588043.4427755703 13358.1167514551
-0.0020595000 0.0000618000 -1588043.4427755703 13358.1167514551
-0.0020610000 0.0000618000 -1588043.4377706980 13358.1167096214
-0.0020865000 0.0000626000 -1596429.0969226675 13428.2210002303
-0.0021255000 0.0000638000 -1615296.8913242863 13585.9643181836
-0.0021525000 0.0000646000 -1629971.8536474842 13708.6612622046
-0.0021690000 0.0000651000 -1642550.4149460888 13813.8354043100
-0.0021765000 0.0000653000 -1650936.1341565275 13883.9541798472
-0.0021900000 0.0000657000 -1656177.1792594262 13927.7792016459
-0.0022035000 0.0000661000 -1664562.8784503753 13997.9010933765
-0.0022170000 0.0000665000 -1667707.4874945737 14024.1970797330
-0.0022275000 0.0000668000 -1678189.6327539678 14111.8533219074
-0.0022395000 0.0000672000 -1680286.0287736887 14129.3846584877
-0.0022515000 0.0000675000 -1689719.9509988602 14208.2783280829
-0.0022725000 0.0000682000 -1699153.8431947972 14287.1741441083
-0.0022935000 0.0000688000 -1708587.7353907342 14366.0723181215
-0.0023040000 0.0000691000 -1712780.5724740278 14401.1388874395
-0.0023190000 0.0000696000 -1719069.8306014040 14453.7396140492
-0.0023280000 0.0000698000 -1729551.9808656706 14541.4101819643
-0.0023370000 0.0000701000 -1734793.0409831866 14585.2463788969
-0.0023475000 0.0000704000 -1740034.0960958302 14629.0832180238
-0.0023595000 0.0000708000 -1747371.5822623014 14690.4560056822
-0.0023730000 0.0000712000 -1754709.0634239004 14751.8300636317
-0.0023835000 0.0000715000 -1757853.6824778437 14778.1334974063
-0.0023880000 0.0000716000 -1760998.3215512768 14804.4373353368
-0.0023955000 0.0000719000 -1763094.7325856148 14821.9732326293
-0.0024105000 0.0000723000 -1770432.2087423413 14883.3500058831
-0.0024075000 0.0000722000 -1774625.0908694866 14918.4233381521
-0.0024075000 0.0000722000 -1772528.6548107862 14900.8866625538
-0.0024090000 0.0000723000 -1770432.2137472138 14883.3500477417
-0.0024075000 0.0000722000 -1774625.0908694866 14918.4233381521
-0.0024075000 0.0000722000 -1770432.2187520862 14883.3500895949
-0.0024075000 0.0000722000 -1769384.0007227361 14874.5818417186
-0.0024060000 0.0000722000 -1772528.6598156588 14900.8867044126
-0.0024090000 0.0000723000 -1769383.9957178636 14874.5817998656
-0.0024090000 0.0000723000 -1769383.9957178636 14874.5817998656
-0.0024075000 0.0000722000 -1774625.0908694866 14918.4233381521
-0.0024075000 0.0000722000 -1774625.0908694866 14918.4233381521
-0.0024075000 0.0000722000 -1772528.6548107862 14900.8866625538
-0.0024075000 0.0000722000 -1769384.0007227361 14874.5818417186
-0.0024075000 0.0000722000 -1773576.8728401365 14909.6549875456
-0.0024075000 0.0000722000 -1774625.0908694866 14918.4233381521
-0.0024075000 0.0000722000 -1770432.2187520862 14883.3500895949
-0.0024075000 0.0000722000 -1769384.0007227361 14874.5818417186
