B I
0,0015 -62,5
-0,0015 -62
0,0015 -62
0 -62
-0,0015 -62
0 -62,5
0 -62,5
0,0015 -62
0 -62,5
0 -62
-0,0015 -62,5
0 -62
0 -62
-0,0015 -62,5
0 -62
0 -62
0,0015 -62
0,0015 -62
0 -62
0 -62
-0,0015 -62
0,0015 -62
0 -62
0 -62
0 -62,5
0 -62,5
0 -62
-0,0015 -62,5
-0,0015 -62,5
0,0015 -62
0,0015 -62
0,0015 -62
0 -62
0,0015 -62
0,0015 -62,5
0,0015 -62,5
0,0015 -62
0 -62,5
0 -62
0 -62,5
0 -62
0 -62
-0,0015 -62
0 -62,5
0 -62,5
-0,0015 -62,5
-0,0015 -62,5
0 -62,5
-0,0015 -62,5
0 -62
0,0015 -62
0,0015 -62,5
0 -62
0 -62
0 -62
0 -62
0 -62,5
0 -62
0,0015 -62
0 -62
-0,0015 -62,5
0 -62,5
-0,0015 -62
0 -62,5
0,0015 -62
-0,0015 -62,5
0 -62,5
0,0015 -62
0 -62
0 -62,5
0,006 -61,5
0,018 -58
0,0165 -57
0,03 -52
0,042 -45,5
0,051 -40,5
0,057 -37
0,06 -34,5
0,063 -33,5
0,066 -31,5
0,0765 -27,5
0,0765 -25,5
0,0795 -25
0,087 -23
0,093 -20,5
0,0975 -17,5
0,099 -15,5
0,105 -13,5
0,1065 -11,5
0,1095 -10,5
0,111 -9
0,123 -5
0,1425 3
0,15 8
0,156 11,5
0,162 14,5
0,1695 18
0,177 22
0,183 25
0,195 30
0,2085 36,5
0,2235 43
0,2325 48
0,2415 52,5
0,243 55
0,246 57,5
0,2505 59
0,255 61
0,2625 64
0,267 66,5
0,273 69,5
0,279 72
0,279 73,5
0,2805 74,5
0,282 75,5
0,288 77
0,288 78
0,2925 80
0,2955 82,5
0,3015 84,5
0,309 87,5
0,3135 90
0,318 92,5
0,321 94
0,3315 97,5
0,3405 102
0,348 105
0,351 108
0,3555 110,5
0,3675 114,5
0,3765 118,5
0,387 123,5
0,3975 128,5
0,402 132,5
0,408 134,5
0,414 137,5
0,4185 139,5
0,4215 142,5
0,4275 144,5
0,429 146,5
0,435 148
0,438 150
0,441 152
0,447 154,5
0,4485 155,5
0,4485 156,5
0,4515 157
0,456 159
0,462 161,5
0,4695 164
0,4725 166,5
0,4755 168
0,4755 169,5
0,4815 170,5
0,486 173
0,4935 176
0,5085 182
0,5175 186,5
0,5265 190,5
0,534 194,5
0,5385 197
0,549 201
0,558 204,5
0,5625 208
0,5685 210,5
0,573 213,5
0,5835 217,5
0,5895 220
0,5895 222
0,5925 223,5
0,5955 225
0,6015 227
0,6075 229,5
0,6135 233
0,6225 236
0,6285 239,5
0,639 243
0,6465 246,5
0,654 250,5
0,6615 254
0,666 256,5
0,6705 258,5
0,675 261
0,684 264,5
0,69 267,5
0,6945 270
0,7035 273
0,7125 276,5
0,7185 280
0,7275 284
0,7335 287
0,7395 289,5
0,747 292,5
0,7545 296
0,7575 298,5
0,765 301,5
0,7725 305
0,7845 308,5
0,792 312
0,798 315,5
0,8055 318,5
0,813 321,5
0,8175 324,5
0,8265 328,5
0,837 332
0,8385 334
0,8415 335,5
0,8415 336,5
0,8475 338,5
0,8535 340,5
0,8595 343
0,8625 345
0,8685 347
0,873 349,5
0,894 354,5
0,9045 360
0,909 363,5
0,9105 365,5
0,915 367,5
