['[\'[\\\'[\\\\\\\'["[\\\\\\\\\\\\\\', '\'\\\'\\\\\\\'"\\\\\\\\\\\\\\\'B_er', '\'\\\'\\\\\\\'"\\\\\\\\\\\\\\\'I\\\\\\', '\'\\\'"\\\\\\\'err_I\\\\\\\']",', '\'"\\\'l_Fe\\\']",\',', '"\'err_l_Fe\']",', "'d']", 'err_d']
-1.8615 -0.0558 -701.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8735 -0.0562 -704.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.8885 -0.0567 -708.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.9140 -0.0574 -714.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.9245 -0.0577 -718.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.9320 -0.0580 -721.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.9380 -0.0581 -723.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.9410 -0.0582 -724.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.9575 -0.0587 -727.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.9755 -0.0593 -732.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-1.9905 -0.0597 -737.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0040 -0.0601 -740.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0160 -0.0605 -743.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0370 -0.0611 -749.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0475 -0.0614 -752.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0505 -0.0615 -754.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0535 -0.0616 -755.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0565 -0.0617 -756.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0565 -0.0617 -757.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0580 -0.0617 -757.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0595 -0.0618 -757.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0595 -0.0618 -757.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0580 -0.0617 -757.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0565 -0.0617 -757.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0565 -0.0617 -757.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0595 -0.0618 -757.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0565 -0.0617 -757.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0595 -0.0618 -757.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0580 -0.0617 -757.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0595 -0.0618 -757.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0580 -0.0617 -757.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0610 -0.0618 -757.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0580 -0.0617 -757.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0565 -0.0617 -757.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0580 -0.0617 -757.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0580 -0.0617 -757.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0580 -0.0617 -757.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0595 -0.0618 -758.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0580 -0.0617 -757.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0595 -0.0618 -757.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0595 -0.0618 -757.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0595 -0.0618 -757.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0610 -0.0618 -757.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.0865 -0.0626 -761.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.1255 -0.0638 -770.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.1525 -0.0646 -777.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.1690 -0.0651 -783.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.1765 -0.0653 -787.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.1900 -0.0657 -790.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.2035 -0.0661 -794.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.2170 -0.0665 -795.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.2275 -0.0668 -800.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.2395 -0.0672 -801.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.2515 -0.0675 -806.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.2725 -0.0682 -810.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.2935 -0.0688 -815.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.3040 -0.0691 -817.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.3190 -0.0696 -820.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.3280 -0.0698 -825.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.3370 -0.0701 -827.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.3475 -0.0704 -830.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.3595 -0.0708 -833.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.3730 -0.0712 -837.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.3835 -0.0715 -838.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.3880 -0.0716 -840.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.3955 -0.0719 -841.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4105 -0.0723 -844.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4075 -0.0722 -846.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4075 -0.0722 -845.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4090 -0.0723 -844.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4075 -0.0722 -846.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4075 -0.0722 -844.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4075 -0.0722 -844.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4060 -0.0722 -845.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4090 -0.0723 -844.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4090 -0.0723 -844.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4075 -0.0722 -846.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4075 -0.0722 -846.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4075 -0.0722 -845.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4075 -0.0722 -844.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4075 -0.0722 -846.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4075 -0.0722 -846.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4075 -0.0722 -844.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4075 -0.0722 -844.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4060 -0.0722 -843.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4075 -0.0722 -846.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4075 -0.0722 -846.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4060 -0.0722 -844.5000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4075 -0.0722 -843.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4075 -0.0722 -843.0000 0.5000 0.4770 0.0040 0.0020 0.0001
-2.4075 -0.0722 -845.5000 0.5000 0.4770 0.0040 0.0020 0.0001
