#['B', 'Null1', 'I', 'Null2']
-1.3305 0.0000 -616.5000 0.0000
-1.3185 0.0000 -613.0000 0.0000
-1.3140 0.0000 -610.0000 0.0000
-1.2960 0.0000 -606.0000 0.0000
-1.2900 0.0000 -603.0000 0.0000
-1.2810 0.0000 -600.5000 0.0000
-1.2765 0.0000 -598.5000 0.0000
-1.2600 0.0000 -593.5000 0.0000
-1.2495 0.0000 -591.0000 0.0000
-1.2405 0.0000 -588.0000 0.0000
-1.2345 0.0000 -585.5000 0.0000
-1.2240 0.0000 -582.0000 0.0000
-1.2135 0.0000 -579.0000 0.0000
-1.2075 0.0000 -576.5000 0.0000
-1.2030 0.0000 -574.0000 0.0000
-1.1895 0.0000 -571.5000 0.0000
-1.1820 0.0000 -568.0000 0.0000
-1.1745 0.0000 -565.5000 0.0000
-1.1655 0.0000 -562.5000 0.0000
-1.1535 0.0000 -559.0000 0.0000
-1.1370 0.0000 -554.0000 0.0000
-1.1265 0.0000 -550.5000 0.0000
-1.1205 0.0000 -547.5000 0.0000
-1.1085 0.0000 -544.0000 0.0000
-1.1055 0.0000 -542.0000 0.0000
-1.0995 0.0000 -540.0000 0.0000
-1.0920 0.0000 -538.0000 0.0000
-1.0830 0.0000 -535.0000 0.0000
-1.0740 0.0000 -532.5000 0.0000
-1.0620 0.0000 -528.0000 0.0000
-1.0575 0.0000 -526.0000 0.0000
-1.0530 0.0000 -524.0000 0.0000
-1.0455 0.0000 -522.0000 0.0000
-1.0410 0.0000 -519.5000 0.0000
-1.0350 0.0000 -518.0000 0.0000
-1.0275 0.0000 -515.5000 0.0000
-1.0185 0.0000 -512.5000 0.0000
-1.0110 0.0000 -510.5000 0.0000
-0.9930 0.0000 -505.5000 0.0000
-0.9810 0.0000 -500.0000 0.0000
-0.9705 0.0000 -496.5000 0.0000
-0.9690 0.0000 -494.5000 0.0000
-0.9645 0.0000 -493.0000 0.0000
-0.9375 0.0000 -486.5000 0.0000
-0.9195 0.0000 -479.5000 0.0000
-0.9120 0.0000 -475.5000 0.0000
-0.9090 0.0000 -473.5000 0.0000
-0.9045 0.0000 -471.5000 0.0000
-0.9000 0.0000 -469.5000 0.0000
-0.8970 0.0000 -468.0000 0.0000
-0.8925 0.0000 -466.0000 0.0000
-0.8790 0.0000 -463.5000 0.0000
-0.8670 0.0000 -458.5000 0.0000
-0.8610 0.0000 -455.5000 0.0000
-0.8490 0.0000 -452.5000 0.0000
-0.8355 0.0000 -447.5000 0.0000
-0.8160 0.0000 -441.5000 0.0000
-0.7995 0.0000 -434.5000 0.0000
-0.7830 0.0000 -428.5000 0.0000
-0.7725 0.0000 -425.0000 0.0000
-0.7560 0.0000 -419.0000 0.0000
-0.7515 0.0000 -415.5000 0.0000
-0.7410 0.0000 -412.0000 0.0000
-0.7275 0.0000 -406.5000 0.0000
-0.7230 0.0000 -404.0000 0.0000
-0.7125 0.0000 -399.0000 0.0000
-0.6960 0.0000 -394.0000 0.0000
-0.6810 0.0000 -388.0000 0.0000
-0.6660 0.0000 -382.5000 0.0000
-0.6435 0.0000 -374.5000 0.0000
-0.6345 0.0000 -369.0000 0.0000
-0.6240 0.0000 -364.5000 0.0000
-0.6150 0.0000 -360.5000 0.0000
-0.6015 0.0000 -356.0000 0.0000
-0.5925 0.0000 -351.5000 0.0000
-0.5835 0.0000 -348.0000 0.0000
-0.5715 0.0000 -343.0000 0.0000
-0.5595 0.0000 -337.5000 0.0000
-0.5475 0.0000 -332.5000 0.0000
-0.5415 0.0000 -329.5000 0.0000
-0.5310 0.0000 -324.5000 0.0000
-0.5235 0.0000 -321.0000 0.0000
-0.5145 0.0000 -317.0000 0.0000
-0.4995 0.0000 -311.5000 0.0000
-0.4935 0.0000 -308.0000 0.0000
-0.4845 0.0000 -303.5000 0.0000
-0.4740 0.0000 -299.0000 0.0000
-0.4650 0.0000 -294.5000 0.0000
-0.4500 0.0000 -288.5000 0.0000
-0.4425 0.0000 -284.0000 0.0000
-0.4290 0.0000 -278.5000 0.0000
-0.4080 0.0000 -270.0000 0.0000
-0.4005 0.0000 -265.0000 0.0000
-0.3945 0.0000 -261.5000 0.0000
-0.3870 0.0000 -258.0000 0.0000
-0.3780 0.0000 -254.0000 0.0000
-0.3735 0.0000 -251.5000 0.0000
-0.3615 0.0000 -246.0000 0.0000
-0.3570 0.0000 -242.5000 0.0000
-0.3450 0.0000 -239.0000 0.0000
-0.3360 0.0000 -234.0000 0.0000
-0.3270 0.0000 -229.0000 0.0000
-0.3165 0.0000 -224.5000 0.0000
-0.3075 0.0000 -221.0000 0.0000
-0.2970 0.0000 -215.0000 0.0000
-0.2835 0.0000 -209.5000 0.0000
-0.2790 0.0000 -205.5000 0.0000
-0.2670 0.0000 -200.5000 0.0000
-0.2625 0.0000 -196.5000 0.0000
-0.2550 0.0000 -193.5000 0.0000
-0.2505 0.0000 -191.0000 0.0000
-0.2430 0.0000 -187.0000 0.0000
-0.2340 0.0000 -183.5000 0.0000
-0.2250 0.0000 -178.5000 0.0000
-0.2100 0.0000 -172.5000 0.0000
-0.2010 0.0000 -167.0000 0.0000
-0.1920 0.0000 -163.0000 0.0000
-0.1890 0.0000 -160.0000 0.0000
-0.1830 0.0000 -157.0000 0.0000
-0.1785 0.0000 -154.0000 0.0000
-0.1755 0.0000 -152.0000 0.0000
-0.1725 0.0000 -151.0000 0.0000
-0.1695 0.0000 -149.5000 0.0000
-0.1680 0.0000 -148.0000 0.0000
-0.1620 0.0000 -146.0000 0.0000
-0.1575 0.0000 -143.5000 0.0000
-0.1500 0.0000 -140.5000 0.0000
-0.1485 0.0000 -138.0000 0.0000
-0.1440 0.0000 -136.5000 0.0000
-0.1410 0.0000 -134.5000 0.0000
-0.1215 0.0000 -128.0000 0.0000
-0.1155 0.0000 -123.5000 0.0000
-0.1095 0.0000 -121.0000 0.0000
-0.1080 0.0000 -119.0000 0.0000
-0.1035 0.0000 -116.5000 0.0000
-0.1005 0.0000 -115.5000 0.0000
-0.0945 0.0000 -112.5000 0.0000
-0.0900 0.0000 -110.5000 0.0000
-0.0810 0.0000 -106.0000 0.0000
-0.0720 0.0000 -101.5000 0.0000
-0.0675 0.0000 -97.5000 0.0000
-0.0540 0.0000 -92.5000 0.0000
-0.0510 0.0000 -90.0000 0.0000
-0.0390 0.0000 -85.0000 0.0000
-0.0345 0.0000 -83.0000 0.0000
-0.0330 0.0000 -81.0000 0.0000
