#I	err_I	B	err_B	l	err_l	d	err_d
-2.7045	0.001	-906	27.18	0.477	0.004	0.002	0.00005
-2.703	0.001	-909	27.27	0.477	0.004	0.002	0.00005
-2.706	0.001	-906.5	27.195	0.477	0.004	0.002	0.00005
-2.703	0.001	-908.5	27.255	0.477	0.004	0.002	0.00005
-2.703	0.001	-905.5	27.165	0.477	0.004	0.002	0.00005
-2.703	0.001	-906	27.18	0.477	0.004	0.002	0.00005
-2.706	0.001	-906	27.18	0.477	0.004	0.002	0.00005
-2.703	0.001	-906.5	27.195	0.477	0.004	0.002	0.00005
-2.706	0.001	-905.5	27.165	0.477	0.004	0.002	0.00005
-2.7045	0.001	-910	27.3	0.477	0.004	0.002	0.00005
-2.7045	0.001	-906	27.18	0.477	0.004	0.002	0.00005
-2.7045	0.001	-906.5	27.195	0.477	0.004	0.002	0.00005
-2.703	0.001	-909.5	27.285	0.477	0.004	0.002	0.00005
-2.703	0.001	-906	27.18	0.477	0.004	0.002	0.00005
-2.7045	0.001	-906	27.18	0.477	0.004	0.002	0.00005
-2.7045	0.001	-909.5	27.285	0.477	0.004	0.002	0.00005
-2.703	0.001	-910	27.3	0.477	0.004	0.002	0.00005
-2.7045	0.001	-906.5	27.195	0.477	0.004	0.002	0.00005
-2.703	0.001	-906	27.18	0.477	0.004	0.002	0.00005
-2.706	0.001	-906	27.18	0.477	0.004	0.002	0.00005
-2.7045	0.001	-910	27.3	0.477	0.004	0.002	0.00005
-2.706	0.001	-908	27.24	0.477	0.004	0.002	0.00005
-2.706	0.001	-910	27.3	0.477	0.004	0.002	0.00005
-2.7075	0.001	-908.5	27.255	0.477	0.004	0.002	0.00005
-2.724	0.001	-913	27.39	0.477	0.004	0.002	0.00005
-2.7435	0.001	-916.5	27.495	0.477	0.004	0.002	0.00005
-2.754	0.001	-918.5	27.555	0.477	0.004	0.002	0.00005
-2.769	0.001	-919.5	27.585	0.477	0.004	0.002	0.00005
-2.775	0.001	-918.5	27.555	0.477	0.004	0.002	0.00005
-2.7825	0.001	-923.5	27.705	0.477	0.004	0.002	0.00005
-2.79	0.001	-925.5	27.765	0.477	0.004	0.002	0.00005
-2.7975	0.001	-925.5	27.765	0.477	0.004	0.002	0.00005
-2.802	0.001	-928	27.84	0.477	0.004	0.002	0.00005
-2.8035	0.001	-929	27.87	0.477	0.004	0.002	0.00005
-2.802	0.001	-924.5	27.735	0.477	0.004	0.002	0.00005
-2.8035	0.001	-924	27.72	0.477	0.004	0.002	0.00005
-2.805	0.001	-929	27.87	0.477	0.004	0.002	0.00005
-2.805	0.001	-924.5	27.735	0.477	0.004	0.002	0.00005
-2.8035	0.001	-929.5	27.885	0.477	0.004	0.002	0.00005
-2.805	0.001	-927	27.81	0.477	0.004	0.002	0.00005
-2.805	0.001	-927	27.81	0.477	0.004	0.002	0.00005
-2.805	0.001	-926.5	27.795	0.477	0.004	0.002	0.00005
-2.805	0.001	-927	27.81	0.477	0.004	0.002	0.00005
-2.805	0.001	-924.5	27.735	0.477	0.004	0.002	0.00005
-2.8065	0.001	-927.5	27.825	0.477	0.004	0.002	0.00005
-2.8065	0.001	-925	27.75	0.477	0.004	0.002	0.00005
-2.805	0.001	-925.5	27.765	0.477	0.004	0.002	0.00005
-2.805	0.001	-929.5	27.885	0.477	0.004	0.002	0.00005
-2.805	0.001	-925	27.75	0.477	0.004	0.002	0.00005
-2.8035	0.001	-925.5	27.765	0.477	0.004	0.002	0.00005
-2.805	0.001	-926.5	27.795	0.477	0.004	0.002	0.00005
-2.805	0.001	-924.5	27.735	0.477	0.004	0.002	0.00005
-2.805	0.001	-929	27.87	0.477	0.004	0.002	0.00005
-2.805	0.001	-929.5	27.885	0.477	0.004	0.002	0.00005
-2.805	0.001	-929.5	27.885	0.477	0.004	0.002	0.00005
-2.805	0.001	-926	27.78	0.477	0.004	0.002	0.00005
-2.805	0.001	-925	27.75	0.477	0.004	0.002	0.00005
-2.805	0.001	-925.5	27.765	0.477	0.004	0.002	0.00005
-2.8065	0.001	-928.5	27.855	0.477	0.004	0.002	0.00005
-2.826	0.001	-928.5	27.855	0.477	0.004	0.002	0.00005
-2.844	0.001	-930	27.9	0.477	0.004	0.002	0.00005
-2.853	0.001	-934.5	28.035	0.477	0.004	0.002	0.00005
-2.8575	0.001	-938.5	28.155	0.477	0.004	0.002	0.00005
-2.8605	0.001	-935	28.05	0.477	0.004	0.002	0.00005
-2.865	0.001	-935	28.05	0.477	0.004	0.002	0.00005
-2.8755	0.001	-936.5	28.095	0.477	0.004	0.002	0.00005
-2.8845	0.001	-938.5	28.155	0.477	0.004	0.002	0.00005
-2.8965	0.001	-940	28.2	0.477	0.004	0.002	0.00005
-2.907	0.001	-947	28.41	0.477	0.004	0.002	0.00005
-2.9085	0.001	-944	28.32	0.477	0.004	0.002	0.00005
-2.91	0.001	-946.5	28.395	0.477	0.004	0.002	0.00005
-2.913	0.001	-946.5	28.395	0.477	0.004	0.002	0.00005
-2.916	0.001	-948.5	28.455	0.477	0.004	0.002	0.00005
-2.9385	0.001	-948	28.44	0.477	0.004	0.002	0.00005
-2.958	0.001	-953	28.59	0.477	0.004	0.002	0.00005
-2.9625	0.001	-952	28.56	0.477	0.004	0.002	0.00005
-2.973	0.001	-954	28.62	0.477	0.004	0.002	0.00005
-2.9805	0.001	-955.5	28.665	0.477	0.004	0.002	0.00005
-2.988	0.001	-959.5	28.785	0.477	0.004	0.002	0.00005
